emotions1,emotions2,emotions3,emotions4,emotions5,emotions6,emotions7,attention1,attention2,attention3,psychdistance1,psychdistance2,psychdistance3,liking1,liking2,liking3,liking4,liking5,humor1,humor2,humor3,aversiveness,messagediscounting1,messagediscounting2,messagediscounting3,messagediscounting4,attitudepositive1,attitudepositive2,attitudepositive3,attitudenegative1,attitudenegative2,attitudenegative3,age,newsconsumption1,newsconsumption2,newsconsumption3,newsconsumption4,condition,country
2,4,3,1,5,4,5,5,5,4,6,6,6,3,2,5,2,1,3,2,2,4,3,5,4,5,5,5,6,6,5,6,33,4,6,5,4,sat,NZ
2,2,2,2,2,6,7,2,3,1,6,5,6,2,2,1,1,2,3,6,2,1,1,2,3,3,7,5,3,1,1,2,21,5,7,2,3,reg,NZ
2,3,5,2,5,3,5,5,4,3,5,7,6,4,4,4,2,2,4,5,3,5,3,6,6,5,2,1,1,6,6,7,21,3,5,4,3,reg,UK
4,4,4,2,1,2,5,6,6,3,5,7,2,5,5,4,5,4,6,6,5,1,6,6,5,4,4,4,4,4,4,4,29,3,7,3,6,sat,NZ
2,2,5,3,3,2,4,7,7,3,2,6,5,2,3,3,2,2,2,5,2,5,1,2,2,3,5,5,2,5,3,6,29,4,5,7,6,reg,UK
4,2,4,2,5,4,5,5,6,3,4,5,4,4,2,4,2,2,3,3,3,5,5,3,3,4,3,3,3,3,3,3,37,5,6,6,6,sat,NZ
1,1,5,1,6,5,6,6,5,2,2,6,2,4,2,2,2,2,2,2,2,5,3,6,4,5,5,5,5,4,5,4,48,4,3,3,2,sat,UK
6,6,5,3,4,4,5,6,6,6,6,5,6,5,4,5,5,4,4,4,4,6,1,2,1,1,5,5,5,4,4,4,34,3,7,4,3,reg,NZ
3,4,4,5,3,4,4,5,5,4,5,6,6,4,3,4,3,3,5,5,5,4,4,3,4,5,3,3,5,5,5,3,64,6,4,4,4,sat,NZ
1,4,4,5,5,2,5,3,3,3,6,4,3,5,3,5,1,2,1,1,3,6,4,2,2,2,6,5,5,5,6,5,53,3,4,4,4,reg,UK
3,2,3,4,1,5,3,7,6,2,2,4,2,5,2,3,5,2,5,5,2,4,5,6,6,6,5,5,6,2,3,3,28,4,5,3,4,sat,UK
4,3,4,3,3,5,5,5,4,4,4,4,4,4,3,5,4,4,5,5,5,5,5,5,5,5,4,5,3,5,5,5,61,5,6,2,2,sat,UK
4,2,4,2,5,4,5,6,6,5,2,4,6,3,4,5,2,2,1,2,4,5,2,4,5,2,5,3,5,3,6,5,27,2,7,2,4,reg,UK
1,1,1,1,1,1,1,5,5,4,3,3,3,4,3,5,3,3,5,5,5,3,5,5,5,6,5,5,3,5,5,6,22,4,6,4,4,sat,NZ
1,2,2,2,2,3,2,7,7,1,1,4,1,1,1,1,1,1,7,7,7,1,2,2,2,7,5,3,4,5,3,4,41,1,7,6,6,reg,UK
1,1,4,1,1,1,1,6,6,6,1,6,2,5,1,5,1,1,1,1,1,1,1,1,4,2,6,6,6,2,4,2,27,1,6,6,4,reg,UK
3,3,3,4,3,1,5,5,5,5,6,6,6,4,4,4,3,3,3,3,3,5,2,3,2,2,5,5,5,4,4,4,19,5,4,4,4,reg,UK
3,5,3,2,1,1,1,6,6,5,5,5,6,5,4,6,3,3,7,5,5,2,3,5,3,6,6,3,5,3,2,5,18,4,6,3,6,sat,UK
4,4,2,2,2,1,2,6,6,3,5,5,6,5,4,3,4,3,7,6,5,2,6,6,6,6,4,4,3,4,4,5,34,3,7,4,4,sat,NZ
4,4,4,4,3,5,3,6,6,4,2,5,3,3,4,4,4,4,4,4,4,4,4,4,4,7,5,5,4,4,3,4,51,2,7,6,4,sat,NZ
5,5,5,3,2,1,1,6,6,6,6,6,6,7,6,7,6,6,2,6,6,2,2,2,3,5,1,7,1,2,4,2,35,7,7,5,4,sat,UK
4,4,3,2,2,5,5,7,7,5,2,5,1,6,5,6,3,2,7,7,7,5,5,7,4,4,4,5,3,4,3,5,39,7,4,4,5,sat,UK
3,5,3,4,2,4,5,6,6,5,2,5,3,6,5,3,3,2,5,4,1,4,4,7,5,7,5,5,6,5,4,3,37,5,3,5,5,sat,UK
4,4,4,4,4,4,4,5,5,5,5,7,7,5,6,6,5,3,2,3,3,5,2,2,2,2,5,2,3,3,5,6,31,5,4,4,4,reg,UK
1,2,2,1,1,5,2,6,6,2,1,7,1,2,1,1,1,1,1,6,1,4,1,1,1,1,6,2,2,1,5,6,46,3,7,1,1,reg,UK
3,4,5,3,3,4,6,6,6,5,2,5,2,6,5,5,5,2,4,5,5,5,5,6,4,5,3,3,2,5,5,5,48,2,7,5,5,sat,UK
3,4,4,3,4,4,5,5,5,5,3,3,3,4,4,5,3,4,4,5,3,5,3,5,5,4,5,5,3,4,4,5,30,3,5,4,4,sat,UK
2,4,4,2,4,4,4,5,5,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,3,2,4,4,4,4,4,4,31,3,4,2,5,reg,NZ
4,4,4,4,2,2,4,6,6,5,2,6,5,4,4,4,2,2,2,2,2,2,2,3,5,2,5,6,5,5,5,5,30,3,4,3,3,reg,UK
1,1,2,4,1,2,1,6,6,4,1,1,1,3,2,2,3,2,4,4,4,4,6,6,4,5,6,6,5,7,5,6,50,4,2,2,4,sat,UK
2,1,5,2,6,4,6,5,3,6,6,6,6,4,1,5,1,1,1,1,4,6,1,7,7,6,6,3,6,2,7,7,39,1,5,3,4,sat,NZ
4,5,5,5,3,5,5,6,6,6,5,6,6,5,4,5,4,2,2,3,3,5,3,4,4,3,4,3,3,5,5,5,35,3,4,3,4,sat,UK
2,4,2,2,1,2,1,6,6,5,2,6,2,6,3,3,6,2,2,2,5,2,4,3,4,4,6,3,2,2,4,5,68,7,7,4,4,sat,NZ
3,4,5,4,5,4,4,7,7,7,3,5,5,6,4,6,6,5,1,2,5,5,1,3,2,1,5,5,3,3,3,5,81,7,6,3,3,reg,UK
3,3,3,3,4,5,5,5,3,5,5,5,3,5,3,5,3,4,3,3,3,5,2,3,2,2,2,2,2,6,6,6,23,4,5,1,4,reg,UK
3,3,2,2,5,5,5,5,5,3,5,5,5,2,3,3,2,2,1,2,1,5,3,5,6,5,3,3,3,5,5,5,49,4,5,4,4,reg,NZ
1,2,4,1,2,4,5,6,6,3,5,5,5,4,2,5,2,2,5,7,6,5,3,5,3,2,5,5,2,2,5,3,41,7,7,3,4,sat,NZ
3,4,4,3,4,4,3,6,5,3,2,5,1,2,2,2,1,2,1,6,2,2,1,1,5,2,5,3,5,3,5,3,23,4,5,4,5,reg,NZ
4,4,4,3,4,4,4,5,3,5,4,5,5,6,1,5,2,3,1,1,2,3,2,2,3,2,4,3,4,4,4,4,44,5,5,3,4,reg,UK
3,2,3,3,1,5,3,6,5,2,2,3,6,5,1,3,2,2,5,5,2,2,6,7,5,6,6,5,2,5,5,5,28,4,4,2,1,sat,UK
2,4,2,4,1,1,1,6,6,6,1,6,6,6,6,6,4,3,2,4,5,5,2,3,3,3,5,3,5,3,5,3,37,4,3,4,2,reg,UK
4,4,4,4,2,2,1,6,6,6,4,4,4,4,6,4,6,4,2,4,6,1,4,4,2,4,6,6,4,2,1,2,40,2,4,1,1,reg,UK
4,7,2,2,1,1,2,7,6,6,2,5,2,4,2,2,2,2,2,2,2,2,6,6,6,6,7,6,5,1,4,4,66,6,6,5,7,sat,NZ
2,4,4,4,4,4,4,7,6,5,5,5,5,4,4,5,3,2,2,3,2,4,2,5,5,5,3,3,4,5,5,4,50,5,4,3,2,reg,NZ
4,4,4,5,2,3,5,3,5,4,4,6,2,3,2,5,1,3,1,2,4,4,1,1,3,1,5,3,5,3,4,3,52,5,4,3,2,reg,UK
3,3,4,2,5,5,5,5,5,5,5,3,5,5,3,5,3,3,3,3,3,5,3,3,3,3,5,3,5,3,5,3,38,6,5,3,3,reg,UK
3,2,5,3,5,4,6,6,5,6,7,7,6,5,4,6,4,4,3,3,4,5,2,2,2,2,5,2,3,3,6,4,35,6,4,5,2,sat,UK
4,3,4,3,4,4,5,7,6,5,2,6,5,4,3,4,2,4,1,1,2,3,1,2,5,1,4,4,4,4,5,5,34,5,6,3,4,reg,UK
1,2,5,1,5,4,2,5,4,5,2,5,1,3,3,5,1,2,1,2,3,5,1,1,5,2,5,2,2,3,2,6,22,3,6,1,6,sat,UK
2,2,2,4,4,2,2,6,6,2,4,6,1,6,2,2,2,2,2,2,2,2,2,4,3,5,5,5,5,3,3,3,30,1,3,1,3,sat,NZ
3,2,3,3,4,2,2,6,6,6,6,6,6,5,3,6,2,2,2,2,2,5,2,2,2,5,2,4,2,6,6,6,24,4,4,2,2,reg,UK
2,2,2,2,1,2,2,6,6,2,6,6,6,2,2,2,2,2,2,5,2,5,5,5,5,6,5,3,2,2,3,2,29,2,4,3,4,sat,NZ
3,3,4,4,4,1,2,6,6,5,4,6,3,5,5,6,2,4,1,3,2,5,1,7,2,2,3,2,1,5,5,6,48,1,3,1,2,reg,UK
5,4,3,4,1,1,5,6,6,6,1,5,2,5,5,4,3,5,5,5,5,1,6,3,6,5,5,5,3,5,5,5,42,1,4,6,5,sat,NZ
2,1,6,2,5,5,6,6,6,5,6,6,5,4,2,5,4,2,1,1,5,5,1,4,2,1,3,1,2,6,7,6,24,2,3,1,3,reg,NZ
3,2,2,3,2,2,2,5,3,2,3,4,3,3,3,4,3,3,4,5,4,3,4,5,5,5,5,4,4,3,4,3,30,6,7,7,5,sat,NZ
2,4,2,2,1,4,1,6,6,5,3,7,3,6,4,5,4,4,7,7,5,1,6,7,6,7,4,4,2,4,5,7,43,1,6,5,4,sat,NZ
4,4,4,4,5,4,4,5,6,4,5,4,3,4,3,5,4,3,2,3,4,4,2,4,3,5,5,4,3,4,5,5,27,3,4,3,3,sat,UK
2,3,4,3,4,4,4,6,5,5,1,1,1,4,2,5,2,2,2,3,3,2,2,2,4,2,4,4,4,4,4,4,27,4,5,2,4,sat,UK
2,3,3,2,1,2,3,6,6,3,1,5,3,5,3,2,2,2,4,5,4,4,6,6,5,7,5,3,4,3,5,3,24,3,5,3,5,sat,UK
4,4,4,5,4,5,4,5,5,3,2,5,4,2,4,2,2,2,2,3,2,3,3,4,3,3,6,3,2,2,5,6,51,5,5,2,4,reg,NZ
3,4,5,3,4,3,3,6,5,3,6,6,4,6,4,4,3,3,2,3,3,6,5,5,3,6,1,2,2,5,6,7,51,5,3,3,1,sat,UK
4,4,4,4,4,4,4,7,6,5,6,6,5,3,4,4,3,4,3,5,4,5,3,2,7,5,6,3,3,3,3,3,40,2,5,4,3,reg,NZ
4,5,4,4,5,6,3,6,4,5,5,5,5,4,2,4,3,2,2,2,3,5,2,2,3,2,3,3,5,5,5,5,37,3,3,3,3,reg,NZ
2,3,2,2,2,3,5,6,5,5,3,5,2,4,2,5,2,2,2,2,4,6,2,2,3,2,4,3,4,4,5,4,30,4,5,4,2,reg,UK
2,2,2,2,5,6,6,6,5,5,5,6,6,3,2,4,3,3,5,3,4,5,6,5,5,7,5,5,3,3,3,5,37,2,5,4,4,sat,NZ
2,4,4,1,1,1,1,3,3,3,1,1,1,2,1,1,1,1,1,5,1,1,1,4,2,6,2,4,3,5,5,5,22,1,4,2,4,reg,NZ
6,6,5,3,5,4,5,6,7,6,6,7,4,6,6,6,6,4,6,7,6,5,3,7,3,7,3,3,1,5,6,1,36,2,6,2,4,sat,NZ
3,4,5,5,2,5,2,5,6,5,4,6,6,5,5,6,4,4,5,6,6,2,3,6,4,5,5,5,2,5,6,2,18,6,6,1,3,sat,UK
2,2,2,2,2,2,2,6,6,6,3,5,5,6,2,5,2,2,2,2,2,2,2,5,2,2,5,5,5,3,3,3,72,7,7,5,5,reg,UK
4,4,4,4,2,2,2,6,6,4,6,6,6,2,2,2,2,2,2,2,2,2,2,3,2,2,6,6,6,2,2,2,35,5,4,3,3,reg,NZ
4,4,1,4,1,1,1,6,6,4,5,5,5,7,5,4,5,5,7,7,7,1,7,7,6,5,5,5,4,3,3,4,32,1,3,4,5,sat,NZ
4,4,4,4,4,1,4,5,5,6,2,3,3,4,4,6,4,2,2,3,2,4,2,2,3,2,3,3,3,5,5,5,20,4,4,3,2,reg,NZ
1,1,1,1,1,6,2,4,4,1,2,4,1,1,2,1,1,3,6,2,3,2,7,6,5,7,5,5,4,4,6,5,54,5,3,1,1,sat,NZ
4,4,4,4,4,4,4,6,6,5,5,6,5,3,3,4,3,4,2,2,2,2,2,2,3,2,5,2,5,5,6,2,38,5,5,2,4,reg,UK
3,4,4,4,4,3,5,6,6,5,5,6,3,4,4,4,5,3,5,6,4,5,5,5,4,7,5,4,2,2,4,5,33,1,6,4,4,sat,NZ
4,5,4,5,5,4,5,6,6,5,4,5,5,4,4,6,4,4,1,2,4,6,2,4,3,2,2,2,3,5,5,5,37,4,5,3,3,reg,NZ
2,6,2,4,2,1,2,6,6,2,5,5,5,4,2,4,2,2,4,5,4,2,4,4,5,5,5,5,2,2,3,4,35,5,6,4,3,sat,UK
2,2,5,3,5,4,5,6,6,6,6,7,4,5,3,6,2,3,2,2,3,4,2,1,2,3,6,5,3,3,3,4,28,6,7,4,4,reg,UK
2,3,5,2,2,6,6,6,6,6,6,6,2,6,2,6,2,2,5,6,5,6,2,2,6,2,6,4,6,5,5,6,27,4,5,5,4,reg,NZ
1,1,2,1,2,2,2,7,7,6,2,2,2,3,1,2,2,2,2,5,2,2,7,6,6,6,4,1,4,5,7,7,46,3,5,1,1,sat,NZ
4,4,5,4,3,3,3,6,5,5,3,6,4,5,3,5,4,3,3,3,3,3,3,3,3,3,5,4,3,3,4,5,62,7,7,2,3,reg,UK
4,4,4,4,4,4,4,6,6,6,4,4,6,4,4,4,4,4,4,4,4,4,2,2,2,2,4,5,3,5,5,5,42,7,7,1,1,reg,NZ
2,2,2,2,2,2,2,6,6,2,6,6,2,4,4,2,2,2,2,2,2,2,2,5,3,2,6,6,6,2,2,2,58,2,3,1,1,sat,NZ
2,3,4,2,2,6,5,4,4,2,4,4,3,3,3,2,3,3,2,4,3,3,4,4,6,5,5,5,4,2,3,4,52,1,4,1,4,reg,UK
3,2,2,2,2,3,2,6,5,2,5,5,2,6,2,2,2,2,2,2,2,2,5,2,7,6,7,7,4,2,1,3,21,3,5,2,2,sat,UK
4,4,5,2,4,2,5,6,6,6,6,6,5,4,4,5,2,2,2,4,3,5,2,2,3,2,4,2,4,6,4,4,36,6,6,6,6,reg,NZ
1,3,3,1,5,3,3,5,3,5,7,7,6,5,3,5,5,2,2,2,3,5,1,5,2,2,3,1,3,3,6,3,19,2,5,3,2,reg,NZ
2,3,5,2,6,4,5,5,4,5,5,5,4,6,5,5,5,5,6,5,5,5,6,6,7,6,5,4,5,3,5,5,28,4,5,4,6,sat,UK
2,7,3,2,1,4,4,5,3,2,5,6,4,2,2,3,2,2,2,2,2,2,2,2,3,2,5,5,2,3,4,5,19,3,5,5,3,reg,UK
5,1,4,1,5,4,1,7,7,6,6,3,7,5,5,6,1,1,1,5,4,1,1,1,2,4,5,3,4,3,6,4,19,4,4,3,2,reg,NZ
1,2,4,2,4,5,5,6,5,4,1,4,5,4,2,4,2,1,1,1,1,4,2,6,5,4,2,2,1,4,6,7,35,3,4,2,4,reg,UK
3,3,4,3,4,4,5,6,5,5,4,4,5,3,4,5,2,2,2,3,3,3,2,2,5,2,4,4,3,4,4,5,34,1,5,4,3,reg,NZ
3,4,3,2,5,5,5,6,6,3,4,5,2,4,4,3,2,3,1,1,3,5,1,2,4,2,2,2,4,6,6,4,26,4,7,3,5,reg,NZ
3,4,6,3,5,5,4,6,6,6,7,7,6,3,2,6,3,4,1,1,2,5,1,3,4,3,5,3,5,4,6,5,23,4,4,3,3,reg,UK
4,4,5,3,3,3,2,6,6,6,5,6,5,6,4,6,4,4,1,1,3,1,2,2,6,6,4,5,3,5,5,5,18,4,5,2,2,sat,NZ
4,4,4,4,4,4,4,5,3,2,5,3,5,3,4,5,2,3,2,4,5,2,2,4,7,5,5,5,5,3,5,4,18,3,3,3,3,reg,NZ
3,3,3,3,5,4,6,5,3,6,3,3,3,3,2,4,3,3,3,3,4,6,3,3,2,3,3,2,2,5,5,6,61,4,3,2,2,sat,UK
1,3,2,2,1,3,4,7,7,5,6,7,5,4,4,5,4,2,1,1,3,5,5,5,4,6,5,6,2,3,4,6,50,3,7,5,4,sat,NZ
2,3,3,2,3,5,5,6,6,5,4,5,1,5,5,5,5,3,6,6,5,2,7,7,6,6,6,6,6,3,3,5,20,3,6,1,1,sat,NZ
