subject,emotions1,emotions2,emotions3,emotions4,emotions5,emotions6,emotions7,psychdistance1,psychdistance2,psychdistance3,liking1,liking2,liking3,liking4,liking5,humor1,humor2,humor3,condition
359,4,3,3,3,2,4,5,5,5,2,2,2,2,1,3,4,4,3,Satire UK
360,2,4,1,3,5,6,5,1,6,1,3,2,1,2,1,5,1,3,Regular news UK
361,3,4,2,2,5,3,3,5,5,5,4,4,5,2,4,2,2,3,Satire UK
362,4,4,4,4,2,2,2,6,6,5,2,3,5,4,4,4,4,3,Satire NZ
363,4,4,4,2,1,1,2,4,2,4,4,4,3,3,2,1,1,1,Satire NZ
364,2,3,4,4,3,6,4,6,6,5,2,4,4,1,2,2,5,2,Regular news NZ
365,4,2,5,3,4,4,5,6,6,6,6,4,6,3,2,2,2,3,Regular news NZ
366,1,1,2,2,5,6,6,6,6,3,6,1,2,2,2,1,1,2,Satire NZ
367,6,5,4,5,3,1,4,4,7,2,6,6,7,6,5,2,3,6,Satire NZ
368,1,4,3,2,5,2,5,6,6,3,3,2,4,2,2,1,1,2,Regular news UK
369,4,3,6,2,5,3,5,5,6,5,4,5,5,3,4,1,2,2,Regular news NZ
370,1,4,5,2,3,4,2,5,5,2,4,3,5,4,2,5,5,2,Satire UK
371,1,4,4,2,4,2,3,7,7,7,5,4,6,1,1,1,1,1,Regular news UK
372,2,4,2,2,6,6,5,1,6,6,3,4,3,2,2,1,2,3,Satire UK
373,4,5,5,3,5,1,2,4,5,5,3,3,4,3,2,5,5,5,Satire UK
374,3,4,4,3,6,5,5,3,4,5,6,4,4,2,3,3,4,1,Satire NZ
375,4,4,4,4,4,5,5,1,5,3,4,4,2,2,4,4,4,3,Regular news UK
376,1,2,1,4,2,7,5,2,3,3,1,1,1,1,1,1,1,1,Satire NZ
377,5,4,4,4,1,1,2,2,6,5,4,4,6,2,4,5,5,4,Satire UK
378,4,4,4,2,2,4,5,5,5,3,5,4,3,4,4,5,5,4,Satire NZ
