subject,emotions1,emotions2,emotions3,emotions4,emotions5,emotions6,emotions7,psychdistance1,psychdistance2,psychdistance3,liking1,liking2,liking3,liking4,liking5,humor1,humor2,humor3,condition
141,3,3,4,3,5,1,2,2,1,1,5,2,6,5,2,2,2,5,Satire UK
142,1,2,2,4,3,4,3,5,6,5,6,4,6,2,1,1,2,5,Regular news NZ
143,5,3,5,3,4,5,5,6,6,6,4,4,5,4,4,4,4,4,Satire UK
144,4,6,4,4,5,4,4,2,5,4,4,4,5,4,3,2,5,2,Satire UK
145,2,2,3,2,5,5,7,3,6,5,5,4,3,4,3,5,5,3,Satire UK
146,5,3,2,2,4,5,2,6,5,2,6,2,6,5,2,2,5,2,Satire UK
147,4,4,4,4,4,4,5,4,4,3,4,4,4,4,3,3,3,3,Regular news UK
148,4,2,1,1,1,1,1,6,7,1,6,6,6,3,4,7,7,6,Satire UK
149,4,4,4,4,4,4,4,6,6,5,4,4,5,4,4,4,4,4,Satire NZ
150,5,5,4,4,1,2,2,5,5,3,5,5,3,5,5,6,6,5,Satire NZ
151,3,5,3,3,1,2,2,6,7,6,6,4,5,2,4,2,2,4,Regular news NZ
152,5,5,3,4,3,5,5,5,4,2,6,5,6,5,2,5,5,5,Satire UK
153,1,5,1,5,1,2,2,1,6,1,3,4,4,1,4,6,6,5,Satire UK
154,4,6,6,3,1,2,1,7,6,1,2,3,5,3,1,2,1,1,Regular news NZ
155,5,6,4,5,1,1,1,4,5,5,6,6,6,4,3,2,1,5,Regular news NZ
156,4,4,4,4,4,4,4,6,6,5,2,4,4,3,4,2,3,3,Regular news NZ
157,1,3,5,3,5,5,5,6,6,6,4,2,4,3,2,2,2,3,Satire NZ
158,2,2,5,2,2,2,2,5,5,3,4,4,4,3,3,6,5,5,Satire NZ
159,5,3,4,4,4,5,4,4,4,3,4,5,3,3,3,2,3,3,Regular news NZ
160,2,4,4,2,5,2,4,5,5,5,3,2,3,4,1,1,1,1,Regular news UK
161,5,1,3,5,5,2,2,6,7,2,3,3,3,1,1,1,1,1,Regular news NZ
162,4,4,2,1,5,5,5,7,7,5,3,6,6,5,5,7,7,7,Satire NZ
163,1,1,4,1,3,1,7,7,7,7,7,1,5,1,1,1,1,1,Regular news NZ
164,1,2,4,2,5,4,6,4,4,2,6,4,6,1,3,2,2,4,Regular news UK
165,4,4,3,4,6,5,4,6,6,6,4,4,5,4,4,4,4,4,Regular news NZ
166,4,5,4,3,4,4,3,4,4,4,4,4,5,4,2,2,2,3,Regular news UK
167,4,4,2,4,1,1,1,4,4,4,4,2,4,2,4,4,2,2,Regular news NZ
168,2,1,2,2,5,4,3,5,6,6,7,1,6,1,1,1,1,1,Regular news NZ
169,5,5,1,2,4,2,1,6,7,7,1,7,5,6,5,7,7,7,Satire NZ
170,4,3,5,3,5,3,4,5,6,6,1,1,1,2,2,5,5,1,Regular news UK
171,2,3,3,4,2,3,5,6,5,6,5,5,5,3,3,4,5,5,Regular news NZ
172,2,5,2,1,1,1,5,6,6,5,5,4,5,4,4,2,3,4,Satire UK
173,3,4,3,4,4,4,5,2,6,2,4,4,6,3,4,6,5,4,Satire NZ
174,3,4,5,4,3,5,5,5,5,6,6,5,6,5,2,2,2,4,Regular news NZ
175,2,4,6,2,5,3,5,6,6,3,4,4,5,3,4,2,2,4,Regular news NZ
176,2,1,2,2,1,4,5,2,2,2,2,2,2,1,2,2,2,2,Satire NZ
177,2,4,1,1,1,1,1,6,6,6,4,6,5,5,5,7,7,7,Satire NZ
178,4,4,4,4,4,4,4,6,6,3,4,4,5,2,4,2,2,4,Satire NZ
179,1,1,1,4,5,4,5,4,6,6,5,4,5,4,2,1,1,4,Regular news UK
180,6,5,6,6,2,2,4,5,4,2,6,6,7,5,6,2,3,4,Regular news NZ
181,2,4,4,2,3,4,4,2,4,2,6,3,5,3,4,2,4,5,Satire UK
182,2,5,2,2,2,2,2,5,6,3,3,2,3,2,2,2,4,2,Regular news UK
183,1,1,1,1,5,5,5,6,6,6,3,1,5,1,1,1,1,1,Regular news NZ
184,2,2,3,2,5,4,4,6,6,5,4,4,4,4,3,3,2,4,Satire NZ
185,4,4,5,3,3,4,3,5,5,5,4,4,5,4,4,5,6,5,Satire UK
186,2,4,4,3,2,2,3,6,6,4,4,3,6,3,5,2,2,4,Regular news NZ
187,1,3,2,2,2,1,1,4,6,5,4,3,5,2,1,1,1,1,Regular news NZ
188,4,5,5,4,3,3,3,1,5,1,2,2,3,4,2,1,1,2,Regular news UK
189,2,4,4,4,1,3,2,6,6,6,5,3,6,3,2,1,3,4,Regular news UK
190,4,4,2,2,2,4,5,6,6,6,3,2,6,2,2,2,2,2,Regular news NZ
191,6,7,7,6,5,5,3,5,5,5,5,6,6,3,5,3,5,6,Satire NZ
192,2,2,2,2,2,2,2,2,4,2,5,4,3,4,3,5,5,4,Satire NZ
193,3,2,4,2,1,2,4,2,6,2,5,5,5,4,3,3,6,5,Satire UK
194,2,2,2,2,2,2,4,4,4,4,5,2,4,2,2,2,2,2,Regular news NZ
195,1,1,1,3,1,6,4,6,6,3,6,2,2,2,2,2,2,1,Satire NZ
196,4,4,5,3,5,4,4,6,6,6,3,4,5,4,5,3,3,4,Satire NZ
197,2,3,4,3,5,4,5,5,6,6,5,4,5,3,3,3,4,4,Regular news UK
198,1,1,3,2,5,2,5,5,5,5,3,4,4,2,1,1,2,4,Regular news NZ
199,5,4,5,5,2,1,2,1,7,7,3,4,4,1,2,1,1,2,Regular news UK
200,2,4,5,5,5,3,5,6,4,6,3,3,5,3,3,2,2,3,Regular news NZ
201,4,4,4,4,1,1,1,2,6,4,4,5,4,5,5,5,5,5,Satire UK
202,2,2,4,4,2,2,2,2,5,3,3,2,4,3,2,5,2,2,Satire UK
203,3,4,5,3,3,3,5,6,5,4,3,3,3,2,2,2,4,2,Regular news NZ
204,2,4,2,2,2,2,2,1,5,5,4,2,3,2,2,2,2,2,Regular news UK
205,2,5,4,4,2,2,2,2,6,4,2,3,2,2,2,2,2,2,Regular news UK
206,4,4,4,4,4,4,4,2,4,2,2,2,2,2,2,2,2,2,Regular news UK
207,2,2,2,2,2,2,2,2,6,2,5,5,6,5,3,5,5,6,Satire NZ
208,1,2,1,4,1,1,3,2,2,2,4,2,2,2,2,7,7,3,Satire NZ
209,4,3,2,2,2,2,2,2,6,2,4,5,6,2,4,7,6,5,Satire UK
210,4,4,4,4,4,4,4,5,5,3,5,2,3,2,2,2,2,2,Regular news NZ
211,2,2,4,2,4,4,5,2,6,3,5,4,6,4,3,3,3,3,Regular news UK
212,2,2,2,1,2,2,5,2,5,2,2,2,1,2,2,3,3,2,Satire UK
213,4,4,1,4,1,1,1,2,6,1,4,3,2,5,4,5,5,5,Satire UK
214,3,4,2,5,3,3,3,3,7,3,2,3,3,3,3,3,3,3,Satire NZ
215,5,4,4,5,1,1,2,2,2,2,5,4,5,2,3,2,2,2,Satire UK
216,4,5,3,4,2,2,2,3,4,2,6,4,6,5,3,2,2,5,Satire NZ
217,1,3,2,2,1,1,2,5,7,5,4,4,1,1,1,3,6,5,Satire NZ
218,6,6,5,5,3,6,2,4,5,5,4,5,6,6,6,3,5,5,Satire NZ
219,2,2,1,2,4,4,4,2,4,3,6,4,5,3,2,2,2,3,Satire UK
220,3,3,4,3,4,3,5,2,6,2,5,4,3,4,3,5,5,5,Satire NZ
221,3,4,4,4,2,4,2,2,3,4,5,4,4,4,4,5,6,6,Satire UK
222,1,1,6,2,6,5,7,5,7,5,5,2,7,1,6,1,1,2,Regular news UK
223,2,2,3,2,4,4,4,5,6,3,4,4,3,2,2,2,2,4,Regular news UK
224,1,1,5,1,5,5,5,6,6,6,5,2,5,2,2,2,2,2,Satire UK
225,1,1,1,1,4,4,4,3,7,1,3,1,3,1,1,1,1,1,Regular news NZ
226,3,4,5,3,2,2,5,2,3,2,5,5,5,3,3,3,5,5,Satire UK
227,2,6,3,4,2,5,5,4,6,6,4,4,5,2,3,2,5,6,Regular news NZ
228,3,5,1,3,1,3,1,6,7,1,2,3,5,1,2,2,1,2,Regular news NZ
229,4,3,4,4,1,4,5,7,5,7,4,4,1,4,4,4,5,4,Regular news NZ
230,2,3,3,3,3,1,4,6,5,5,4,3,5,1,2,1,1,4,Regular news NZ
231,4,4,4,4,4,4,4,6,6,6,3,3,3,3,3,5,4,3,Regular news UK
232,4,4,2,2,2,5,2,3,6,2,6,2,6,2,2,2,2,2,Satire UK
233,1,2,3,2,2,4,6,2,2,2,2,2,2,2,2,2,2,2,Regular news NZ
234,5,5,5,3,3,4,5,6,7,6,3,4,5,3,2,2,3,4,Regular news NZ
235,2,5,4,3,5,3,3,5,6,2,3,3,6,3,3,2,5,4,Regular news NZ
236,1,1,1,1,1,6,6,6,6,7,6,2,2,2,2,6,6,2,Regular news UK
237,4,4,1,1,1,1,1,6,6,2,1,2,2,2,1,2,1,2,Satire NZ
238,4,3,4,3,4,4,5,2,2,2,4,3,5,4,3,4,4,3,Satire UK
239,4,4,4,4,4,4,4,5,5,2,2,2,2,2,2,4,2,2,Regular news NZ
240,2,2,2,2,2,5,2,5,6,1,3,2,2,2,2,2,5,2,Satire NZ
241,3,6,4,4,2,4,2,5,5,2,2,2,2,2,2,2,2,2,Regular news UK
242,2,4,4,3,4,5,4,2,2,2,3,2,4,4,2,4,4,4,Satire UK
243,5,4,3,6,6,5,5,2,2,6,4,5,6,2,4,4,3,3,Regular news NZ
244,5,3,5,4,1,2,1,5,6,5,7,6,7,3,4,1,1,3,Regular news UK
245,5,5,2,3,2,3,2,5,5,3,5,5,5,3,5,6,5,6,Satire NZ
